AIRLINE_ENGLISH,AIRLINE_KOREAN,AIRPORT,AIR_FLN,ARRIVED_ENG,ARRIVED_KOR,BAGGAGE_CLAIM,BOARDING_ENG,BOARDING_KOR,CITY,ETD,FLIGHT_DATE,GATE,IO,LINE,LINE_CODE,RMK_ENG,RMK_KOR,STD,UFID
JINAIR,진에어,GMP,LJ308,GIMPO,서울/김포,2,JEJU,제주,CJU,1428,20230430,,I,국내,D,ARRIVED   ,도착,1425,20230430GMPILJ308
JINAIR,진에어,GMP,LJ310,GIMPO,서울/김포,2,JEJU,제주,CJU,1816,20230430,,I,국내,D,ARRIVED   ,도착,1810,20230430GMPILJ310
JINAIR,진에어,GMP,LJ312,GIMPO,서울/김포,3,JEJU,제주,CJU,1901,20230430,,I,국내,D,ARRIVED   ,도착,1900,20230430GMPILJ312
JINAIR,진에어,GMP,LJ314,GIMPO,서울/김포,2,JEJU,제주,CJU,2210,20230430,,I,국내,D,ARRIVED   ,도착,2220,20230430GMPILJ314
JINAIR,진에어,GMP,LJ316,GIMPO,서울/김포,2,JEJU,제주,CJU,2233,20230430,,I,국내,D,ARRIVED   ,도착,2230,20230430GMPILJ316
JINAIR,진에어,GMP,LJ350,GIMPO,서울/김포,2,GIMHAE,부산/김해,PUS,0805,20230430,,I,국내,D,ARRIVED   ,도착,0815,20230430GMPILJ350
JINAIR,진에어,GMP,LJ352,GIMPO,서울/김포,2,GIMHAE,부산/김해,PUS,0858,20230430,,I,국내,D,ARRIVED   ,도착,0905,20230430GMPILJ352
JINAIR,진에어,GMP,LJ356,GIMPO,서울/김포,2,GIMHAE,부산/김해,PUS,2159,20230430,,I,국내,D,ARRIVED   ,도착,2215,20230430GMPILJ356
JINAIR,진에어,GMP,LJ378,GIMPO,서울/김포,2,YEOSU,여수,RSU,2106,20230430,,I,국내,D,ARRIVED   ,도착,2105,20230430GMPILJ378
JINAIR,진에어,GMP,LJ392,GIMPO,서울/김포,2,ULSAN,울산,USN,1457,20230430,,I,국내,D,ARRIVED   ,도착,1450,20230430GMPILJ392
JINAIR,진에어,GMP,LJ398,GIMPO,서울/김포,2,POHANG GYEONGJU,포항/포항경주,KPO,1931,20230430,,I,국내,D,ARRIVED   ,도착,1920,20230430GMPILJ398
JINAIR,진에어,GMP,LJ438,GIMPO,서울/김포,2,SACHEON,진주/사천,HIN,1127,20230430,,I,국내,D,ARRIVED   ,도착,1140,20230430GMPILJ438
JINAIR,진에어,GMP,LJ440,GIMPO,서울/김포,2,SACHEON,진주/사천,HIN,1906,20230430,,I,국내,D,ARRIVED   ,도착,1900,20230430GMPILJ440
CHINA EASTERN AIRLINES,중국동방항공,GMP,MU511,GIMPO,서울/김포,,HONGQIAO,상하이/홍차오,SHA,1106,20230430,,I,국제,I,ARRIVED   ,도착,1100,20230430GMPIMU511
CHINA EASTERN AIRLINES,중국동방항공,GMP,MU8639,GIMPO,서울/김포,3,HONGQIAO,상하이/홍차오,SHA,1853,20230430,,I,국제,I,ARRIVED   ,도착,1850,20230430GMPIMU8639
ALL NIPPON AIRWAYS (NH),전일본공수,GMP,NH6957,GIMPO,서울/김포,,KANSAI,오사카/간사이,KIX,1312,20230430,,I,국제,I,ARRIVED   ,도착,1310,20230430GMPINH6957
ALL NIPPON AIRWAYS (NH),전일본공수,GMP,NH6967,GIMPO,서울/김포,,HANEDA,도쿄/하네다,HND,1436,20230430,,I,국제,I,ARRIVED   ,도착,1425,20230430GMPINH6967
ALL NIPPON AIRWAYS (NH),전일본공수,GMP,NH6969,GIMPO,서울/김포,,HANEDA,도쿄/하네다,HND,2237,20230430,,I,국제,I,ARRIVED   ,도착,2225,20230430GMPINH6969
ALL NIPPON AIRWAYS (NH),전일본공수,GMP,NH6979,GIMPO,서울/김포,,KANSAI,오사카/간사이,KIX,2222,20230430,,I,국제,I,ARRIVED   ,도착,2225,20230430GMPINH6979
ALL NIPPON AIRWAYS (NH),전일본공수,GMP,NH6983,GIMPO,서울/김포,3,HANEDA,도쿄/하네다,HND,1135,20230430,,I,국제,I,ARRIVED   ,도착,1120,20230430GMPINH6983
ALL NIPPON AIRWAYS (NH),전일본공수,GMP,NH861,GIMPO,서울/김포,3,HANEDA,도쿄/하네다,HND,1112,20230430,,I,국제,I,ARRIVED   ,도착,1105,20230430GMPINH861
ALL NIPPON AIRWAYS (NH),전일본공수,GMP,NH863,GIMPO,서울/김포,,HANEDA,도쿄/하네다,HND,1436,20230430,,I,국제,I,ARRIVED   ,도착,1425,20230430GMPINH863
ALL NIPPON AIRWAYS (NH),전일본공수,GMP,NH865,GIMPO,서울/김포,,HANEDA,도쿄/하네다,HND,1847,20230430,,I,국제,I,ARRIVED   ,도착,1835,20230430GMPINH865
ASIANA AIRLINE,아시아나항공,GMP,OZ1035,GIMPO,서울/김포,,HANEDA,도쿄/하네다,HND,2237,20230430,,I,국제,I,ARRIVED   ,도착,2225,20230430GMPIOZ1035
ASIANA AIRLINE,아시아나항공,GMP,OZ1055,GIMPO,서울/김포,3,HANEDA,도쿄/하네다,HND,1135,20230430,,I,국제,I,ARRIVED   ,도착,1120,20230430GMPIOZ1055
ASIANA AIRLINE,아시아나항공,GMP,OZ1075,GIMPO,서울/김포,,HANEDA,도쿄/하네다,HND,1436,20230430,,I,국제,I,ARRIVED   ,도착,1425,20230430GMPIOZ1075
ASIANA AIRLINE,아시아나항공,GMP,OZ1135,GIMPO,서울/김포,,KANSAI,오사카/간사이,KIX,1312,20230430,,I,국제,I,ARRIVED   ,도착,1310,20230430GMPIOZ1135
ASIANA AIRLINE,아시아나항공,GMP,OZ1155,GIMPO,서울/김포,,KANSAI,오사카/간사이,KIX,2222,20230430,,I,국제,I,ARRIVED   ,도착,2225,20230430GMPIOZ1155
ASIANA AIRLINE,아시아나항공,GMP,OZ3365,GIMPO,서울/김포,,BEIJING CAPITAL,베이징/서우두,PEK,1357,20230430,,I,국제,I,ARRIVED   ,도착,1410,20230430GMPIOZ3365
ASIANA AIRLINE,아시아나항공,GMP,OZ3625,GIMPO,서울/김포,,HONGQIAO,상하이/홍차오,SHA,2103,20230430,,I,국제,I,ARRIVED   ,도착,2115,20230430GMPIOZ3625
ASIANA AIRLINE,아시아나항공,GMP,OZ8010,GIMPO,서울/김포,3,JEJU,제주,CJU,1736,20230430,,I,국내,D,ARRIVED   ,도착,1730,20230430GMPIOZ8010
ASIANA AIRLINE,아시아나항공,GMP,OZ8014,GIMPO,서울/김포,3,JEJU,제주,CJU,2232,20230430,,I,국내,D,ARRIVED   ,도착,2235,20230430GMPIOZ8014
ASIANA AIRLINE,아시아나항공,GMP,OZ8018,GIMPO,서울/김포,3,JEJU,제주,CJU,2042,20230430,,I,국내,D,ARRIVED   ,도착,2055,20230430GMPIOZ8018
ASIANA AIRLINE,아시아나항공,GMP,OZ8026,GIMPO,서울/김포,3,JEJU,제주,CJU,0941,20230430,,I,국내,D,ARRIVED   ,도착,1000,20230430GMPIOZ8026
ASIANA AIRLINE,아시아나항공,GMP,OZ8028,GIMPO,서울/김포,3,JEJU,제주,CJU,1542,20230430,,I,국내,D,ARRIVED   ,도착,1430,20230430GMPIOZ8028
ASIANA AIRLINE,아시아나항공,GMP,OZ8040,GIMPO,서울/김포,3,JEJU,제주,CJU,1141,20230430,,I,국내,D,ARRIVED   ,도착,1150,20230430GMPIOZ8040
ASIANA AIRLINE,아시아나항공,GMP,OZ8090,GIMPO,서울/김포,2,JEJU,제주,CJU,1535,20230430,,I,국내,D,ARRIVED   ,도착,1540,20230430GMPIOZ8090
ASIANA AIRLINE,아시아나항공,GMP,OZ8704,GIMPO,서울/김포,5,GWANGJU,광주,KWJ,1120,20230430,,I,국내,D,ARRIVED   ,도착,1135,20230430GMPIOZ8704
ASIANA AIRLINE,아시아나항공,GMP,OZ8708,GIMPO,서울/김포,3,GWANGJU,광주,KWJ,1819,20230430,,I,국내,D,ARRIVED   ,도착,1810,20230430GMPIOZ8708
ASIANA AIRLINE,아시아나항공,GMP,OZ8734,GIMPO,서울/김포,5,YEOSU,여수,RSU,0938,20230430,,I,국내,D,ARRIVED   ,도착,0940,20230430GMPIOZ8734
ASIANA AIRLINE,아시아나항공,GMP,OZ8736,GIMPO,서울/김포,5,YEOSU,여수,RSU,1845,20230430,,I,국내,D,ARRIVED   ,도착,1845,20230430GMPIOZ8736
ASIANA AIRLINE,아시아나항공,GMP,OZ8800,GIMPO,서울/김포,3,GIMHAE,부산/김해,PUS,0749,20230430,,I,국내,D,ARRIVED   ,도착,0800,20230430GMPIOZ8800
ASIANA AIRLINE,아시아나항공,GMP,OZ8802,GIMPO,서울/김포,3,GIMHAE,부산/김해,PUS,0850,20230430,,I,국내,D,ARRIVED   ,도착,0900,20230430GMPIOZ8802
ASIANA AIRLINE,아시아나항공,GMP,OZ8804,GIMPO,서울/김포,3,GIMHAE,부산/김해,PUS,0946,20230430,,I,국내,D,ARRIVED   ,도착,1000,20230430GMPIOZ8804
ASIANA AIRLINE,아시아나항공,GMP,OZ8806,GIMPO,서울/김포,3,GIMHAE,부산/김해,PUS,1116,20230430,,I,국내,D,ARRIVED   ,도착,1120,20230430GMPIOZ8806
ASIANA AIRLINE,아시아나항공,GMP,OZ8808,GIMPO,서울/김포,3,GIMHAE,부산/김해,PUS,1220,20230430,,I,국내,D,ARRIVED   ,도착,1220,20230430GMPIOZ8808
ASIANA AIRLINE,아시아나항공,GMP,OZ8812,GIMPO,서울/김포,3,GIMHAE,부산/김해,PUS,1336,20230430,,I,국내,D,ARRIVED   ,도착,1340,20230430GMPIOZ8812
ASIANA AIRLINE,아시아나항공,GMP,OZ8814,GIMPO,서울/김포,3,GIMHAE,부산/김해,PUS,1455,20230430,,I,국내,D,ARRIVED   ,도착,1500,20230430GMPIOZ8814
ASIANA AIRLINE,아시아나항공,GMP,OZ8816,GIMPO,서울/김포,3,GIMHAE,부산/김해,PUS,1600,20230430,,I,국내,D,ARRIVED   ,도착,1600,20230430GMPIOZ8816
ASIANA AIRLINE,아시아나항공,GMP,OZ8818,GIMPO,서울/김포,3,GIMHAE,부산/김해,PUS,1653,20230430,,I,국내,D,ARRIVED   ,도착,1700,20230430GMPIOZ8818
ASIANA AIRLINE,아시아나항공,GMP,OZ8820,GIMPO,서울/김포,3,GIMHAE,부산/김해,PUS,1824,20230430,,I,국내,D,ARRIVED   ,도착,1820,20230430GMPIOZ8820
ASIANA AIRLINE,아시아나항공,GMP,OZ8822,GIMPO,서울/김포,3,GIMHAE,부산/김해,PUS,1919,20230430,,I,국내,D,ARRIVED   ,도착,1925,20230430GMPIOZ8822
ASIANA AIRLINE,아시아나항공,GMP,OZ8824,GIMPO,서울/김포,3,GIMHAE,부산/김해,PUS,2018,20230430,,I,국내,D,ARRIVED   ,도착,2025,20230430GMPIOZ8824
ASIANA AIRLINE,아시아나항공,GMP,OZ8826,GIMPO,서울/김포,3,GIMHAE,부산/김해,PUS,2109,20230430,,I,국내,D,ARRIVED   ,도착,2125,20230430GMPIOZ8826
ASIANA AIRLINE,아시아나항공,GMP,OZ8900,GIMPO,서울/김포,5,JEJU,제주,CJU,0737,20230430,,I,국내,D,ARRIVED   ,도착,0740,20230430GMPIOZ8900
ASIANA AIRLINE,아시아나항공,GMP,OZ8902,GIMPO,서울/김포,5,JEJU,제주,CJU,0740,20230430,,I,국내,D,ARRIVED   ,도착,0750,20230430GMPIOZ8902
ASIANA AIRLINE,아시아나항공,GMP,OZ8904,GIMPO,서울/김포,5,JEJU,제주,CJU,0852,20230430,,I,국내,D,ARRIVED   ,도착,0905,20230430GMPIOZ8904
ASIANA AIRLINE,아시아나항공,GMP,OZ8906,GIMPO,서울/김포,5,JEJU,제주,CJU,1520,20230430,,I,국내,D,ARRIVED   ,도착,1520,20230430GMPIOZ8906
ASIANA AIRLINE,아시아나항공,GMP,OZ8912,GIMPO,서울/김포,5,JEJU,제주,CJU,0952,20230430,,I,국내,D,ARRIVED   ,도착,0955,20230430GMPIOZ8912
ASIANA AIRLINE,아시아나항공,GMP,OZ8914,GIMPO,서울/김포,5,JEJU,제주,CJU,1027,20230430,,I,국내,D,ARRIVED   ,도착,1030,20230430GMPIOZ8914
ASIANA AIRLINE,아시아나항공,GMP,OZ8916,GIMPO,서울/김포,5,JEJU,제주,CJU,1102,20230430,,I,국내,D,ARRIVED   ,도착,1100,20230430GMPIOZ8916
ASIANA AIRLINE,아시아나항공,GMP,OZ8920,GIMPO,서울/김포,5,JEJU,제주,CJU,1132,20230430,,I,국내,D,ARRIVED   ,도착,1130,20230430GMPIOZ8920
ASIANA AIRLINE,아시아나항공,GMP,OZ8922,GIMPO,서울/김포,5,JEJU,제주,CJU,1325,20230430,,I,국내,D,ARRIVED   ,도착,1320,20230430GMPIOZ8922
ASIANA AIRLINE,아시아나항공,GMP,OZ8924,GIMPO,서울/김포,5,JEJU,제주,CJU,1341,20230430,,I,국내,D,ARRIVED   ,도착,1345,20230430GMPIOZ8924
ASIANA AIRLINE,아시아나항공,GMP,OZ8932,GIMPO,서울/김포,5,JEJU,제주,CJU,1416,20230430,,I,국내,D,ARRIVED   ,도착,1420,20230430GMPIOZ8932
ASIANA AIRLINE,아시아나항공,GMP,OZ8936,GIMPO,서울/김포,5,JEJU,제주,CJU,1504,20230430,,I,국내,D,ARRIVED   ,도착,1510,20230430GMPIOZ8936
ASIANA AIRLINE,아시아나항공,GMP,OZ8938,GIMPO,서울/김포,5,JEJU,제주,CJU,2157,20230430,,I,국내,D,ARRIVED   ,도착,2155,20230430GMPIOZ8938
ASIANA AIRLINE,아시아나항공,GMP,OZ8944,GIMPO,서울/김포,5,JEJU,제주,CJU,1531,20230430,,I,국내,D,ARRIVED   ,도착,1520,20230430GMPIOZ8944
ASIANA AIRLINE,아시아나항공,GMP,OZ8948,GIMPO,서울/김포,5,JEJU,제주,CJU,1523,20230430,,I,국내,D,ARRIVED   ,도착,1530,20230430GMPIOZ8948
ASIANA AIRLINE,아시아나항공,GMP,OZ8950,GIMPO,서울/김포,5,JEJU,제주,CJU,1643,20230430,,I,국내,D,ARRIVED   ,도착,1650,20230430GMPIOZ8950
ASIANA AIRLINE,아시아나항공,GMP,OZ8956,GIMPO,서울/김포,5,JEJU,제주,CJU,1659,20230430,,I,국내,D,ARRIVED   ,도착,1705,20230430GMPIOZ8956
ASIANA AIRLINE,아시아나항공,GMP,OZ8962,GIMPO,서울/김포,5,JEJU,제주,CJU,1737,20230430,,I,국내,D,ARRIVED   ,도착,1735,20230430GMPIOZ8962
ASIANA AIRLINE,아시아나항공,GMP,OZ8964,GIMPO,서울/김포,5,JEJU,제주,CJU,1814,20230430,,I,국내,D,ARRIVED   ,도착,1805,20230430GMPIOZ8964
ASIANA AIRLINE,아시아나항공,GMP,OZ8970,GIMPO,서울/김포,5,JEJU,제주,CJU,1806,20230430,,I,국내,D,ARRIVED   ,도착,1810,20230430GMPIOZ8970
ASIANA AIRLINE,아시아나항공,GMP,OZ8972,GIMPO,서울/김포,5,JEJU,제주,CJU,1959,20230430,,I,국내,D,ARRIVED   ,도착,2000,20230430GMPIOZ8972
ASIANA AIRLINE,아시아나항공,GMP,OZ8974,GIMPO,서울/김포,5,JEJU,제주,CJU,2202,20230430,,I,국내,D,ARRIVED   ,도착,2200,20230430GMPIOZ8974
ASIANA AIRLINE,아시아나항공,GMP,OZ8982,GIMPO,서울/김포,5,JEJU,제주,CJU,2044,20230430,,I,국내,D,ARRIVED   ,도착,2040,20230430GMPIOZ8982
ASIANA AIRLINE,아시아나항공,GMP,OZ8986,GIMPO,서울/김포,5,JEJU,제주,CJU,2056,20230430,,I,국내,D,ARRIVED   ,도착,2100,20230430GMPIOZ8986
ASIANA AIRLINE,아시아나항공,GMP,OZ8992,GIMPO,서울/김포,5,JEJU,제주,CJU,2132,20230430,,I,국내,D,ARRIVED   ,도착,2130,20230430GMPIOZ8992
ASIANA AIRLINE,아시아나항공,GMP,OZ8996,GIMPO,서울/김포,5,JEJU,제주,CJU,2249,20230430,,I,국내,D,ARRIVED   ,도착,2205,20230430GMPIOZ8996
ASIANA AIRLINE,아시아나항공,GMP,OZ9101,GIMPO,서울/김포,3,HANEDA,도쿄/하네다,HND,1112,20230430,,I,국제,I,ARRIVED   ,도착,1105,20230430GMPIOZ9101
ASIANA AIRLINE,아시아나항공,GMP,OZ9103,GIMPO,서울/김포,,HANEDA,도쿄/하네다,HND,1847,20230430,,I,국제,I,ARRIVED   ,도착,1835,20230430GMPIOZ9103
ASIANA AIRLINE,아시아나항공,GMP,OZ9151,GIMPO,서울/김포,,HANEDA,도쿄/하네다,HND,1436,20230430,,I,국제,I,ARRIVED   ,도착,1425,20230430GMPIOZ9151
AIR SEOUL,에어서울,GMP,RS902,GIMPO,서울/김포,3,JEJU,제주,CJU,0843,20230430,,I,국내,D,ARRIVED   ,도착,0840,20230430GMPIRS902
AIR SEOUL,에어서울,GMP,RS904,GIMPO,서울/김포,,JEJU,제주,CJU,1234,20230430,,I,국내,D,ARRIVED   ,도착,1225,20230430GMPIRS904
AIR SEOUL,에어서울,GMP,RS906,GIMPO,서울/김포,3,JEJU,제주,CJU,1629,20230430,,I,국내,D,ARRIVED   ,도착,1550,20230430GMPIRS906
AIR SEOUL,에어서울,GMP,RS908,GIMPO,서울/김포,3,JEJU,제주,CJU,2049,20230430,,I,국내,D,ARRIVED   ,도착,2040,20230430GMPIRS908
AIR SEOUL,에어서울,GMP,RS922,GIMPO,서울/김포,3,JEJU,제주,CJU,1314,20230430,,I,국내,D,ARRIVED   ,도착,1315,20230430GMPIRS922
AIR SEOUL,에어서울,GMP,RS926,GIMPO,서울/김포,3,JEJU,제주,CJU,1849,20230430,,I,국내,D,ARRIVED   ,도착,1840,20230430GMPIRS926
T'WAY AIR CO.LTD,티웨이항공,GMP,TW668,GIMPO,서울/김포,,SONGSHAN,타이페이/쑹산,TSA,1656,20230430,,I,국제,I,ARRIVED   ,도착,1725,20230430GMPITW668
T'WAY AIR CO.LTD,티웨이항공,GMP,TW702,GIMPO,서울/김포,4,JEJU,제주,CJU,0846,20230430,,I,국내,D,ARRIVED   ,도착,0905,20230430GMPITW702
T'WAY AIR CO.LTD,티웨이항공,GMP,TW706,GIMPO,서울/김포,4,JEJU,제주,CJU,1000,20230430,,I,국내,D,ARRIVED   ,도착,0955,20230430GMPITW706
T'WAY AIR CO.LTD,티웨이항공,GMP,TW708,GIMPO,서울/김포,4,JEJU,제주,CJU,1108,20230430,,I,국내,D,ARRIVED   ,도착,1110,20230430GMPITW708
T'WAY AIR CO.LTD,티웨이항공,GMP,TW710,GIMPO,서울/김포,4,JEJU,제주,CJU,1213,20230430,,I,국내,D,ARRIVED   ,도착,1215,20230430GMPITW710
T'WAY AIR CO.LTD,티웨이항공,GMP,TW712,GIMPO,서울/김포,4,JEJU,제주,CJU,1241,20230430,,I,국내,D,ARRIVED   ,도착,1245,20230430GMPITW712
T'WAY AIR CO.LTD,티웨이항공,GMP,TW718,GIMPO,서울/김포,,JEJU,제주,CJU,1354,20230430,,I,국내,D,ARRIVED   ,도착,1355,20230430GMPITW718
T'WAY AIR CO.LTD,티웨이항공,GMP,TW720,GIMPO,서울/김포,4,JEJU,제주,CJU,1448,20230430,,I,국내,D,ARRIVED   ,도착,1440,20230430GMPITW720
T'WAY AIR CO.LTD,티웨이항공,GMP,TW726,GIMPO,서울/김포,4,JEJU,제주,CJU,1733,20230430,,I,국내,D,ARRIVED   ,도착,1730,20230430GMPITW726
T'WAY AIR CO.LTD,티웨이항공,GMP,TW728,GIMPO,서울/김포,4,JEJU,제주,CJU,1842,20230430,,I,국내,D,ARRIVED   ,도착,1815,20230430GMPITW728
T'WAY AIR CO.LTD,티웨이항공,GMP,TW732,GIMPO,서울/김포,4,JEJU,제주,CJU,2111,20230430,,I,국내,D,ARRIVED   ,도착,2105,20230430GMPITW732
T'WAY AIR CO.LTD,티웨이항공,GMP,TW734,GIMPO,서울/김포,4,JEJU,제주,CJU,2137,20230430,,I,국내,D,ARRIVED   ,도착,2130,20230430GMPITW734
T'WAY AIR CO.LTD,티웨이항공,GMP,TW736,GIMPO,서울/김포,4,JEJU,제주,CJU,2225,20230430,,I,국내,D,ARRIVED   ,도착,2215,20230430GMPITW736
T'WAY AIR CO.LTD,티웨이항공,GMP,TW9012,GIMPO,서울/김포,4,GIMHAE,부산/김해,PUS,1054,20230430,,I,국내,D,ARRIVED   ,도착,1050,20230430GMPITW9012
T'WAY AIR CO.LTD,티웨이항공,GMP,TW9016,GIMPO,서울/김포,4,GIMHAE,부산/김해,PUS,1809,20230430,,I,국내,D,ARRIVED   ,도착,1730,20230430GMPITW9016
T'WAY AIR CO.LTD,티웨이항공,GMP,TW9312,GIMPO,서울/김포,4,GIMHAE,부산/김해,PUS,2015,20230430,,I,국내,D,ARRIVED   ,도착,2010,20230430GMPITW9312
T'WAY AIR CO.LTD,티웨이항공,GMP,TW9472,GIMPO,서울/김포,,GIMHAE,부산/김해,PUS,1321,20230430,,I,국내,D,ARRIVED   ,도착,1320,20230430GMPITW9472
T'WAY AIR CO.LTD,티웨이항공,GMP,TW9474,GIMPO,서울/김포,2,GIMHAE,부산/김해,PUS,0950,20230430,,I,국내,D,ARRIVED   ,도착,1005,20230430GMPITW9474
T'WAY AIR CO.LTD,티웨이항공,GMP,TW9522,GIMPO,서울/김포,4,GIMHAE,부산/김해,PUS,1642,20230430,,I,국내,D,ARRIVED   ,도착,1640,20230430GMPITW9522
T'WAY AIR CO.LTD,티웨이항공,GMP,TW9524,GIMPO,서울/김포,4,GIMHAE,부산/김해,PUS,2139,20230430,,I,국내,D,ARRIVED   ,도착,2100,20230430GMPITW9524
T'WAY AIR CO.LTD,티웨이항공,GMP,TW964,GIMPO,서울/김포,,GIMHAE,부산/김해,PUS,1431,20230430,,I,국내,D,ARRIVED   ,도착,1410,20230430GMPITW964
EASTAR JET,이스타항공,GMP,ZE202,GIMPO,서울/김포,2,JEJU,제주,CJU,0910,20230430,,I,국내,D,ARRIVED   ,도착,0915,20230430GMPIZE202
EASTAR JET,이스타항공,GMP,ZE204,GIMPO,서울/김포,2,JEJU,제주,CJU,0936,20230430,,I,국내,D,ARRIVED   ,도착,0940,20230430GMPIZE204
EASTAR JET,이스타항공,GMP,ZE208,GIMPO,서울/김포,2,JEJU,제주,CJU,1104,20230430,,I,국내,D,ARRIVED   ,도착,1100,20230430GMPIZE208
EASTAR JET,이스타항공,GMP,ZE210,GIMPO,서울/김포,2,JEJU,제주,CJU,1258,20230430,,I,국내,D,ARRIVED   ,도착,1255,20230430GMPIZE210
EASTAR JET,이스타항공,GMP,ZE214,GIMPO,서울/김포,2,JEJU,제주,CJU,1402,20230430,,I,국내,D,ARRIVED   ,도착,1405,20230430GMPIZE214
EASTAR JET,이스타항공,GMP,ZE216,GIMPO,서울/김포,2,JEJU,제주,CJU,1440,20230430,,I,국내,D,ARRIVED   ,도착,1440,20230430GMPIZE216
EASTAR JET,이스타항공,GMP,ZE220,GIMPO,서울/김포,2,JEJU,제주,CJU,1636,20230430,,I,국내,D,ARRIVED   ,도착,1640,20230430GMPIZE220
EASTAR JET,이스타항공,GMP,ZE222,GIMPO,서울/김포,2,JEJU,제주,CJU,1856,20230430,,I,국내,D,ARRIVED   ,도착,1845,20230430GMPIZE222
EASTAR JET,이스타항공,GMP,ZE224,GIMPO,서울/김포,2,JEJU,제주,CJU,1912,20230430,,I,국내,D,ARRIVED   ,도착,1910,20230430GMPIZE224
EASTAR JET,이스타항공,GMP,ZE230,GIMPO,서울/김포,2,JEJU,제주,CJU,2134,20230430,,I,국내,D,ARRIVED   ,도착,2135,20230430GMPIZE230
EASTAR JET,이스타항공,GMP,ZE232,GIMPO,서울/김포,2,JEJU,제주,CJU,2244,20230430,,I,국내,D,ARRIVED   ,도착,2225,20230430GMPIZE232
EASTAR JET,이스타항공,GMP,ZE234,GIMPO,서울/김포,2,JEJU,제주,CJU,2254,20230430,,I,국내,D,ARRIVED   ,도착,2235,20230430GMPIZE234
HI AIR,하이에어,GMP,4H1301,ULSAN,울산,,GIMPO,서울/김포,USN,0828,20230430,13,O,국내,D,DEPARTED,출발,0755,20230430GMPO4H1301
HI AIR,하이에어,GMP,4H1303,ULSAN,울산,,GIMPO,서울/김포,USN,1154,20230430,13,O,국내,D,DEPARTED,출발,1140,20230430GMPO4H1303
HI AIR,하이에어,GMP,4H1305,ULSAN,울산,,GIMPO,서울/김포,USN,1625,20230430,13,O,국내,D,DEPARTED,출발,1610,20230430GMPO4H1305
HI AIR,하이에어,GMP,4H1341,SACHEON,진주/사천,,GIMPO,서울/김포,HIN,0806,20230430,13,O,국내,D,DEPARTED,출발,0750,20230430GMPO4H1341
HI AIR,하이에어,GMP,4H1347,SACHEON,진주/사천,,GIMPO,서울/김포,HIN,1545,20230430,13,O,국내,D,DEPARTED,출발,1520,20230430GMPO4H1347
HI AIR,하이에어,GMP,4H1531,MUAN,무안,,GIMPO,서울/김포,MWX,0926,20230430,13,O,국내,D,DEPARTED,출발,0910,20230430GMPO4H1531
HI AIR,하이에어,GMP,4H1611,JEJU,제주,,GIMPO,서울/김포,CJU,1529,20230430,13,O,국내,D,DEPARTED,출발,1355,20230430GMPO4H1611
HI AIR,하이에어,GMP,4H1613,JEJU,제주,,GIMPO,서울/김포,CJU,1921,20230430,13,O,국내,D,DEPARTED,출발,1835,20230430GMPO4H1613
JEJU AIR,제주항공,GMP,7C101,JEJU,제주,,GIMPO,서울/김포,CJU,0642,20230430,19,O,국내,D,DEPARTED,출발,0625,20230430GMPO7C101
JEJU AIR,제주항공,GMP,7C103,JEJU,제주,,GIMPO,서울/김포,CJU,0717,20230430,19,O,국내,D,DEPARTED,출발,0700,20230430GMPO7C103
JEJU AIR,제주항공,GMP,7C105,JEJU,제주,,GIMPO,서울/김포,CJU,0752,20230430,11,O,국내,D,DEPARTED,출발,0740,20230430GMPO7C105
JEJU AIR,제주항공,GMP,7C107,JEJU,제주,,GIMPO,서울/김포,CJU,0917,20230430,11,O,국내,D,DEPARTED,출발,0900,20230430GMPO7C107
JEJU AIR,제주항공,GMP,7C113,JEJU,제주,,GIMPO,서울/김포,CJU,1145,20230430,18,O,국내,D,DEPARTED,출발,1130,20230430GMPO7C113
JEJU AIR,제주항공,GMP,7C115,JEJU,제주,,GIMPO,서울/김포,CJU,1228,20230430,20,O,국내,D,DEPARTED,출발,1215,20230430GMPO7C115
JEJU AIR,제주항공,GMP,7C117,JEJU,제주,,GIMPO,서울/김포,CJU,1303,20230430,11,O,국내,D,DEPARTED,출발,1240,20230430GMPO7C117
JEJU AIR,제주항공,GMP,7C119,JEJU,제주,,GIMPO,서울/김포,CJU,1353,20230430,11,O,국내,D,DEPARTED,출발,1330,20230430GMPO7C119
JEJU AIR,제주항공,GMP,7C121,JEJU,제주,,GIMPO,서울/김포,CJU,1453,20230430,18,O,국내,D,DEPARTED,출발,1440,20230430GMPO7C121
JEJU AIR,제주항공,GMP,7C123,JEJU,제주,,GIMPO,서울/김포,CJU,1541,20230430,11,O,국내,D,DEPARTED,출발,1530,20230430GMPO7C123
JEJU AIR,제주항공,GMP,7C125,JEJU,제주,,GIMPO,서울/김포,CJU,1612,20230430,18,O,국내,D,DEPARTED,출발,1550,20230430GMPO7C125
JEJU AIR,제주항공,GMP,7C127,JEJU,제주,,GIMPO,서울/김포,CJU,1840,20230430,18,O,국내,D,DEPARTED,출발,1815,20230430GMPO7C127
JEJU AIR,제주항공,GMP,7C129,JEJU,제주,,GIMPO,서울/김포,CJU,1941,20230430,11,O,국내,D,DEPARTED,출발,1910,20230430GMPO7C129
JEJU AIR,제주항공,GMP,7C133,JEJU,제주,,GIMPO,서울/김포,CJU,1947,20230430,19,O,국내,D,DEPARTED,출발,1930,20230430GMPO7C133
